Hazard PK,Hazard Code,Description1,Description2,Description3
23,4,"UN3017, Organophosphorous Pesticides, Liquid,","Toxic, Flammable (Chlorpyrifos, Aromatic Naphtha)","Class 6.1 (3), PG III"
28,7,"UN1993, Flammable Liquids, N.O.S.",(Xylenes) Malathion,"Class 3, PG III"
29,8,"UN2902, Environmentally Hazadous Substances","Liquid, N.O.S (2,4-D Ester)","Class 6.1, PG III"
30,9,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Bromoxynil Solution),"Class 6.1, PG III"
32,11,"UN1325, Flammable Solids, N.O.S.",(50% Benomyl),"Class 4.1, PG II"
33,12,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Bromoxynil),"Class 6.1, PG III"
36,15,"UN2922, Pesticides, Liquid, Toxic, N.O.S.",(Bromoxynil),"Class 6.1, PG III"
38,119,"UN2783, Organophosphorous Pesticides, Solid, Toxic",(Terbufos),"Class 6.1, PG III"
39,17,"UN2903, Organophosphorous Pesticides, Solid,","Toxic, N.O.S. (Terbufos)","Class 6.1 (3), PG III"
40,18,"UN1993, Flammable Liquids, N.O.S.",(Xylene),"Class 3, PG II"
45,19,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(5% Deltamethrin),"Class 6.1, PG III"
47,20,"UN2903, Pesticides, Liquid, Toxic, Flammable,","N.O.S. (Deltamethrin, Xylene)","Class 6.1 (3), PG III"
48,21,"UN3018, Organophosphorous Pesticides, Liquid,","Toxic, N.O.S. (Trichlorfon)","Class 6.1, PG III"
49,22,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
50,23,"UN2992, Carbamate Pesticides, Liquid, Toxic",(Carbofuran),"Class 6.1, PG II"
51,24,"UN3016, Bipyridylium Pesticides, Liquid,","Toxic, N.O.S. (Paraquat Solution)","Class 6.1, PG III"
53,26,"UN1993, Flammable Liquids, N.O.S.",(Xylene),"Class 3, PG III"
55,28,"UN3017, Organophosphorous Pesticides, Liquid,","Toxic, Flammable, (Dimethoate, Cyclohexanone)","Class 6.1 (3), PG III"
56,29,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Glufosinate-Ammonium),"Class 6.1, PG III"
59,32,"UN1993, Flammable Liquids, N.O.S.",(Xylenes) Malathion,"Class 3, PG II"
60,33,"UN3352, Pyrethroid Pesticide, Liquid, Toxic,",(Lambda-cyhalothrin),"Class 6.1, PG III"
61,34,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Bromoxynil),"Class 6.1, PG III"
64,35,"UN2790, Acetic Acid Solution",.,"Class 8, PG II"
65,30,"UN1760, Corrosive Liquids, N.O.S.",(Contains Diquat Dibromide 37.3 W/W),"Class 8, PG III"
69,39,"UN2903, Pesticides, Liquid, Toxic, Flammable,","N.O.S.(Deltamethrin, Xylene)","Class 6.1 (3), PG III"
70,40,"UN3077, Environmentally Hazardous Substances,","Solid, N.O.S. (Lindane)","Class 9.2, PG III"
74,41,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
81,43,"UN2902, Pesticides, Liquid, Toxic, N.O.S.","(Lindane, Thiram)","Class 6.1, PG III"
82,38,"UN2783, Organophosphorous Pesticides, Solid,","Toxic, N.O.S. (Terbufos)","Class 6.1, PG III"
83,45,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
85,47,"UN2757, Carbamate Pesticides, Solid, Toxic, N.O.S.",(Carbofuran),"Class 6.1, PG III"
87,48,"UN2902, Pesticides, Liquid,Toxic,N.O.S.",(Bromoxynil),"Class 6.1, PG III"
88,49,"UN2902, Pesticides, Liquid,Toxic,N.O.S.","(Bromoxynil Ester, Petroleum Distillates)","Class 6.1, PG III"
93,50,"UN1805, Corrosive Liquids, N.O.S.",(Phosphoric Acid),"Class 8, PG III"
107,51,"UN1824, Sodium Hydroxide Solution","Class 8, PG II",.
108,52,"UN3077, Environmentally Hazardous Substances,","Solid, N.O.S. (Lindane, Diazinon, Captan Mixture)","Class 9.2, PG III"
109,53,"UN1993, Flammable Liquids, N.O.S.   (Contains",Substituted Benzenoid Hydrocarbons & 50%,"Permethrin, Class 3, PG III"
110,54,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
111,133,"UN3077, Environmentally Hazardous Substances,","Solid, N.O.S. (Cyanazine Mixture)","Class 9.2, PG II"
113,132,"UN2998, Triazine Pesticides, Liquid, Toxic, N.O.S.",(Cyanazine),"Class 6.1, PG III"
115,58,"UN3077, Environmentally Hazardous Substances,","Solids, N.O.S. (2,4-D Acid)","Class 9.2, PG III"
116,59,"UN2773, Phthalimide Derivative Pesticides, Solid,","Toxic, N.O.S. (Captan Mixture)","Class 6.1, PG III"
117,60,"UN1993, Flammable Liquids, N.O.S.",(Contains Isopropanol),"Class 3, PG III"
118,61,"UN1993, Flammable Liquids, N.O.S. (Contains",Substituted Benzenoid Hydrocarbons Cypermethrin),"Class 3, PG III"
119,62,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
120,63,"UN2810, Posinous Liquids, N.O.S",(Tallow Fatty Acid Amine Ethoxylate),"Class 6.1, PG III"
121,64,"UN3265, Corrosive Liquids, Acidic, Organic, N.O.S.",(Ethephon),"Class 8, PG III"
122,65,"UN3018, Organophosphorous Pesticides, Liquid,","Toxic, N.O.S. (Azinphos-Methyl)","Class 6.1, PG II"
123,66,"UN2758, Carbamate Pesticides, Liquid, Flammable,","Toxic, N.O.S. (24% Methomyl in Methonal)","Class 3 (6.1), PG II"
124,67,"UN2757, Carbamate Pesticides, Solid, Toxic, N.O.S.",(90% Methomyl),"Class 6.1, PG II"
125,68,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
126,69,"UN3077, Environmentally Hazardous Substances,","Solids, N.O.S. (Simazine)","Class 9.2, PG III"
127,70,"UN2783, Organophosphorous Pesticides, Solid, Toxic",(Phorate),"Class 6.1, PG III"
128,71,"UN2995, Organochlorine Pesticides, Liquid,","Toxic,Flammable, N.O.S. (Endosulfan, Xylene)","Class 6.1 (3), PG III"
129,72,"UN2761, Organochlorine Pesticides, Solid, Toxic,",N.O.S. (50% Endosulfan) *Marine Pollutant*,"Class 6.1, PG III"
130,73,"UN3077, Environmentally Hazardous Substances,","Solid, N.O.S. (Thiram)","Class 9.2, PG III"
131,74,"UN2902, Pesticides, Liquid, Toxic, N.O.S.","(Bromoxynil, 2,4-D Ester)","Class 6.1, PG III"
132,75,"UN2927, Poison, Liquid, Corrosive","Class 8, PG II",.
133,76,"UN1397, Aluminum Phosphide","Class 4.3 (6.1), PG I",4 X Placard 4.3
134,77,"UN2902, Pesticides, Liquid, Toxic, N.O.S.",(Deltamethrin),"Class 6.1, PG III"
135,78,"UN2996, Organochlorine, Pesticides, Toxic, N.O.S.","(Lindane, Thiram)","Class 6.1, PG III"
137,5000,"UN3265, Corrosive, Liquid, Acidic, N.O.S.",((2-Chloroethyl) Phosphonic Acid),"Class 8, PG III"
138,80,"UN2757, Carbamate Pesticides, Solid, Toxic, N.O.S.",(Carbaryl),"Class 6.1, PG III"
139,126,"UN2761, Organochlorine Pesticides, Solid, Toxic,",N.O.S. (Endosulfan),"Class 6.1, PG III"
140,82,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
141,83,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
142,84,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
143,85,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
144,86,"UN3018, Organophosphorous Pesticws, Liquid,","Toxic, N.O.S. (Phosalone)","Class 6.1, PG III"
145,87,"UN2757, Carbamate Pesticides, Solid, Toxic, N.O.S.",(Bendiocarb),"Class 6.1, PG III"
153,90,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
157,124,"UN3264, Corrosive, Liquid, Acidic, Inorganic,",N.O.S. (Phosphoric Acid),"Class 8, PG III"
158,93,"UN1760, Corrosive, Liquid, N.O.S.","(Sodium Hydroxide 1,2 Benzisothiazolin_3_One)","Class 8, PG II"
159,100,"UN2922, Corrosive Liquid, Toxic, N.O.S.",(Paraquat Solution),"Class 8 (6.1), PG III"
160,94,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
161,46,"UN2757, Carbamate Pesticides, Solid, Toxic, N.O.S.",(Pirimicarb Mixture),"Class 6.1, PG III"
162,16,"UN2783, Organophosphorous Pesticides, Solid,","Toxic, N.O.S. (Terbufos)","Class 6.1, PG I"
163,25,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
164,92,"UN3266, Corrosive, Liquid, Acidic, Inorganic,",N.O.S. (Pentapotassium Triphosphate),"Class 8, PG III"
165,27,Shipped in accordance with:,Marine Pollutant Exemption,1.45.1 for Documentation & Safety Marks
166,95,"UN3018, Organophosphorous Pesticide, Liquid, Toxic",",N.O.S. (Methamidophos)","Class 6.1, PGII"
167,44,"UN2783, Organophosphorous Pesticides, Solid,","Toxic, N.O.S. (Azinphos-Methyl)","Class 6.1, PG II"
