manufacture_id,name
1100,Bayer Crop Science (Roundup)
1150,Bayer Roundup (Shuttles)
1700,Interprovincial Co-Operative Ltd.
1701,Interprovincial Co-Operative Ltd. (Empties)/Shuttles
1911,Bayer Cropscience (Parts)
1930,Bayer Cropscience (Seed)
1940,Bayer Cropscience (Chem)
1941,Bayer Cropscience (Packaging)
1942,Bayer Cropscience  (Shuttles)
2219,BASF Ag Specialties Ltd. (2-219 Revenue Rd)
2525,Sipcam Agro
2760,AgResource/Cargill
2902,BASF Canada (Shuttles)
2903,Seed - BASF Agriculture Solutions Ontario LTD
2909,BASF Canada
2931,BASF Canada (Packaging)
2990,BASF Canada (Parts)
2999,BASF Agriculture Specialties
3000,Federated Co-operatives Ltd.
3343,Gowan Agro Canada
4400,Mansfield Oil 
9000,CWS Logistics Ltd.
9050,CWS - Disposal
9051,Cws - Waste Water Tote 
9999,Cws Inventory Test Account
